fecha_key;fecha;dia;mes;nombre_mes;trimestre;anio;dia_semana;fin_semana
20260401;2026-04-01;1;4;Abril;2;2026;Miércoles;0
20260402;2026-04-02;2;4;Abril;2;2026;Jueves;0
20260403;2026-04-03;3;4;Abril;2;2026;Viernes;0
20260404;2026-04-04;4;4;Abril;2;2026;Sábado;1
20260405;2026-04-05;5;4;Abril;2;2026;Domingo;1
20260406;2026-04-06;6;4;Abril;2;2026;Lunes;0
20260407;2026-04-07;7;4;Abril;2;2026;Martes;0
20260408;2026-04-08;8;4;Abril;2;2026;Miércoles;0
20260409;2026-04-09;9;4;Abril;2;2026;Jueves;0
20260410;2026-04-10;10;4;Abril;2;2026;Viernes;0
