id_fact_venta;fecha_key;cliente_key;producto_key;canal_key;tienda_key;cantidad;precio_unitario;total_venta;tipo_venta
1;20260401;104;2012;3;3.0;2;35000.0;70000.0;Presencial
2;20260402;105;2011;1;;1;60000.0;60000.0;Online
3;20260401;114;2001;3;1.0;2;140000.0;280000.0;Presencial
4;20260410;117;2001;1;;2;140000.0;280000.0;Online
5;20260407;118;2004;3;4.0;3;15000.0;45000.0;Presencial
6;20260407;106;2006;1;;3;100000.0;300000.0;Online
7;20260406;107;2002;1;;1;280000.0;280000.0;Online
8;20260406;104;2014;2;;3;20000.0;60000.0;Online
9;20260401;109;2012;3;4.0;1;35000.0;35000.0;Presencial
10;20260409;103;2005;2;;3;70000.0;210000.0;Online
11;20260402;107;2001;3;6.0;2;140000.0;280000.0;Presencial
12;20260404;103;2014;2;;1;20000.0;20000.0;Online
13;20260408;109;2011;2;;3;60000.0;180000.0;Online
14;20260406;112;2004;1;;3;15000.0;45000.0;Online
15;20260410;103;2011;3;2.0;2;60000.0;120000.0;Presencial
16;20260407;115;2005;1;;2;70000.0;140000.0;Online
17;20260401;111;2004;3;7.0;1;15000.0;15000.0;Presencial
18;20260405;113;2002;2;;2;280000.0;560000.0;Online
19;20260404;111;2011;3;4.0;4;60000.0;240000.0;Presencial
20;20260403;115;2005;3;2.0;2;70000.0;140000.0;Presencial
21;20260409;118;2005;3;6.0;4;70000.0;280000.0;Presencial
22;20260406;113;2004;3;2.0;4;15000.0;60000.0;Presencial
23;20260402;102;2003;1;;2;30000.0;60000.0;Online
24;20260410;114;2002;3;4.0;4;280000.0;1120000.0;Presencial
25;20260409;115;2005;3;5.0;1;70000.0;70000.0;Presencial
26;20260409;104;2013;3;3.0;3;55000.0;165000.0;Presencial
27;20260407;110;2003;1;;4;30000.0;120000.0;Online
28;20260409;109;2013;1;;2;55000.0;110000.0;Online
29;20260405;104;2014;3;6.0;2;20000.0;40000.0;Presencial
30;20260403;112;2009;1;;1;120000.0;120000.0;Online
31;20260408;111;2001;3;1.0;3;140000.0;420000.0;Presencial
32;20260401;108;2004;2;;1;15000.0;15000.0;Online
33;20260402;116;2013;1;;2;55000.0;110000.0;Online
34;20260409;116;2003;1;;3;30000.0;90000.0;Online
35;20260407;120;2004;3;5.0;2;15000.0;30000.0;Presencial
36;20260407;110;2011;3;6.0;3;60000.0;180000.0;Presencial
37;20260408;117;2002;2;;2;280000.0;560000.0;Online
38;20260406;103;2001;1;;2;140000.0;280000.0;Online
39;20260401;108;2002;3;6.0;1;280000.0;280000.0;Presencial
40;20260401;103;2014;1;;3;20000.0;60000.0;Online
41;20260404;117;2005;1;;4;70000.0;280000.0;Online
42;20260403;118;2012;1;;4;35000.0;140000.0;Online
43;20260407;116;2004;1;;1;15000.0;15000.0;Online
44;20260406;114;2007;1;;4;50000.0;200000.0;Online
45;20260402;102;2001;2;;4;140000.0;560000.0;Online
46;20260402;111;2004;3;2.0;2;15000.0;30000.0;Presencial
47;20260403;115;2007;3;2.0;3;50000.0;150000.0;Presencial
48;20260402;108;2008;2;;1;80000.0;80000.0;Online
49;20260401;118;2002;1;;2;280000.0;560000.0;Online
50;20260408;114;2008;1;;2;80000.0;160000.0;Online
51;20260403;102;2007;2;;1;50000.0;50000.0;Online
52;20260408;109;2005;2;;4;70000.0;280000.0;Online
53;20260408;118;2003;3;2.0;3;30000.0;90000.0;Presencial
54;20260410;102;2012;1;;1;35000.0;35000.0;Online
55;20260401;111;2001;3;5.0;4;140000.0;560000.0;Presencial
56;20260403;117;2001;3;5.0;1;140000.0;140000.0;Presencial
57;20260410;103;2002;1;;2;280000.0;560000.0;Online
